from_stop_id,to_stop_id,transfer_type,min_transfer_time
1-5641,1-2568,2,0
1-5641,1-2550,2,0
1-5641,1-5641,2,0
1-5641,1-2630,2,0
1-5641,1-2555,2,0
1-5641,1-2552,2,0
1-2630,1-3569,2,0
1-2630,1-5030,2,0
1-2630,1-3326,2,0
1-2630,1-3546,2,0
1-2630,1-1361,2,0
1-2630,1-3328,2,0
1-2630,1-2568,2,0
1-2630,1-2550,2,0
1-2630,1-5641,2,0
1-2630,1-2630,2,0
1-2630,1-2555,2,0
1-2630,1-2552,2,0
1-2555,1-3569,2,0
1-2555,1-5030,2,0
1-2555,1-3326,2,0
1-2555,1-3546,2,0
1-2555,1-1361,2,0
1-2555,1-3328,2,0
1-2555,1-2568,2,0
1-2555,1-2550,2,0
1-2555,1-5641,2,0
1-2555,1-2630,2,0
1-2555,1-2555,2,0
1-2555,1-2552,2,0
1-2552,1-3569,2,0
1-2552,1-5030,2,0
1-2552,1-3326,2,0
1-2552,1-3546,2,0
1-2552,1-1361,2,0
1-2552,1-3328,2,0
1-2552,1-2568,2,0
1-2552,1-2550,2,0
1-2552,1-5641,2,0
1-2552,1-2630,2,0
1-2552,1-2555,2,0
1-2552,1-2552,2,0
1-3943,1-5697,2,0
1-3943,1-5696,2,0
1-3943,1-5695,2,0
1-3943,1-5693,2,0
1-3943,1-5522,2,0
1-3943,1-5700,2,0
1-3943,1-5699,2,0
1-3943,1-5691,2,0
1-3943,1-5701,2,0
1-3943,1-5690,2,0
1-3943,1-3943,2,0
1-5522,1-5696,2,0
1-5522,1-5695,2,0
1-5522,1-5697,2,0
1-5522,1-5693,2,0
1-5522,1-5700,2,0
1-5522,1-5699,2,0
1-5522,1-5691,2,0
1-5522,1-5701,2,0
1-5522,1-3943,2,0
1-5522,1-5690,2,0
1-5522,1-5522,2,0
1-5690,1-5696,2,0
1-5690,1-5695,2,0
1-5690,1-5697,2,0
1-5690,1-5693,2,0
1-5690,1-5522,2,0
1-5690,1-5700,2,0
1-5690,1-5699,2,0
1-5690,1-5691,2,0
1-5690,1-5701,2,0
1-5690,1-3943,2,0
1-5690,1-5690,2,0
1-5691,1-5696,2,0
1-5691,1-5695,2,0
1-5691,1-5697,2,0
1-5691,1-5693,2,0
1-5691,1-5522,2,0
1-5691,1-5700,2,0
1-5691,1-5699,2,0
1-5691,1-5701,2,0
1-5691,1-3943,2,0
1-5691,1-5690,2,0
1-5691,1-5691,2,0
1-5693,1-5696,2,0
1-5693,1-5695,2,0
1-5693,1-5697,2,0
1-5693,1-5522,2,0
1-5693,1-5700,2,0
1-5693,1-5699,2,0
1-5693,1-5691,2,0
1-5693,1-5701,2,0
1-5693,1-3943,2,0
1-5693,1-5690,2,0
1-5693,1-5693,2,0
1-5695,1-5696,2,0
1-5695,1-5697,2,0
1-5695,1-5693,2,0
1-5695,1-5522,2,0
1-5695,1-5700,2,0
1-5695,1-5699,2,0
1-5695,1-5691,2,0
1-5695,1-5701,2,0
1-5695,1-3943,2,0
1-5695,1-5690,2,0
1-5695,1-5695,2,0
1-5696,1-5695,2,0
1-5696,1-5697,2,0
1-5696,1-5693,2,0
1-5696,1-5522,2,0
1-5696,1-5700,2,0
1-5696,1-5699,2,0
1-5696,1-5691,2,0
1-5696,1-5701,2,0
1-5696,1-3943,2,0
1-5696,1-5690,2,0
1-5696,1-5696,2,0
1-5697,1-5696,2,0
1-5697,1-5695,2,0
1-5697,1-5693,2,0
1-5697,1-5522,2,0
1-5697,1-5700,2,0
1-5697,1-5699,2,0
1-5697,1-5691,2,0
1-5697,1-5701,2,0
1-5697,1-3943,2,0
1-5697,1-5690,2,0
1-5697,1-5697,2,0
1-5699,1-5696,2,0
1-5699,1-5695,2,0
1-5699,1-5697,2,0
1-5699,1-5693,2,0
1-5699,1-5522,2,0
1-5699,1-5700,2,0
1-5699,1-5691,2,0
1-5699,1-5701,2,0
1-5699,1-3943,2,0
1-5699,1-5690,2,0
1-5699,1-5699,2,0
1-5700,1-5696,2,0
1-5700,1-5695,2,0
1-5700,1-5697,2,0
1-5700,1-5693,2,0
1-5700,1-5522,2,0
1-5700,1-5699,2,0
1-5700,1-5691,2,0
1-5700,1-5701,2,0
1-5700,1-3943,2,0
1-5700,1-5690,2,0
1-5700,1-5700,2,0
1-5701,1-5696,2,0
1-5701,1-5695,2,0
1-5701,1-5697,2,0
1-5701,1-5693,2,0
1-5701,1-5522,2,0
1-5701,1-5700,2,0
1-5701,1-5699,2,0
1-5701,1-5691,2,0
1-5701,1-3943,2,0
1-5701,1-5690,2,0
1-5701,1-5701,2,0
1-1011,1-2087,2,300
1-1011,1-2664,2,300
1-1011,1-5882,2,300
1-1011,1-1011,2,300
1-1011,1-2878,2,300
1-1011,1-2441,2,300
1-1011,1-2051,2,300
1-1011,1-2094,2,300
1-1011,1-1139,2,300
1-1011,1-1190,2,300
1-1139,1-2087,2,300
1-1139,1-2664,2,300
1-1139,1-5882,2,300
1-1139,1-1011,2,300
1-1139,1-2878,2,300
1-1139,1-2441,2,300
1-1139,1-2051,2,300
1-1139,1-2094,2,300
1-1139,1-1139,2,300
1-1139,1-1190,2,300
1-2051,1-2087,2,300
1-2051,1-2664,2,300
1-2051,1-5882,2,300
1-2051,1-1011,2,300
1-2051,1-2878,2,300
1-2051,1-2441,2,300
1-2051,1-2051,2,300
1-2051,1-2094,2,300
1-2051,1-1139,2,300
1-2051,1-1190,2,300
1-2087,1-2087,2,300
1-2087,1-2664,2,300
1-2087,1-5882,2,300
1-2087,1-1011,2,300
1-2087,1-2878,2,300
1-2087,1-2441,2,300
1-2087,1-2051,2,300
1-2087,1-2094,2,300
1-2087,1-1139,2,300
1-2087,1-1190,2,300
1-2094,1-2087,2,300
1-2094,1-2664,2,300
1-2094,1-5882,2,300
1-2094,1-1011,2,300
1-2094,1-2878,2,300
1-2094,1-2441,2,300
1-2094,1-2051,2,300
1-2094,1-2094,2,300
1-2094,1-1139,2,300
1-2094,1-1190,2,300
1-2441,1-2087,2,300
1-2441,1-2664,2,300
1-2441,1-5882,2,300
1-2441,1-1011,2,300
1-2441,1-2878,2,300
1-2441,1-2441,2,300
1-2441,1-2051,2,300
1-2441,1-2094,2,300
1-2441,1-1139,2,300
1-2441,1-1190,2,300
1-2664,1-2087,2,300
1-2664,1-2664,2,300
1-2664,1-5882,2,300
1-2664,1-1011,2,300
1-2664,1-2878,2,300
1-2664,1-2441,2,300
1-2664,1-2051,2,300
1-2664,1-2094,2,300
1-2664,1-1139,2,300
1-2664,1-1190,2,300
1-1190,1-2087,2,300
1-1190,1-2664,2,300
1-1190,1-5882,2,300
1-1190,1-1011,2,300
1-1190,1-2878,2,300
1-1190,1-2441,2,300
1-1190,1-2051,2,300
1-1190,1-2094,2,300
1-1190,1-1139,2,300
1-1190,1-1190,2,300
1-5882,1-2087,2,300
1-5882,1-2664,2,300
1-5882,1-5882,2,300
1-5882,1-1011,2,300
1-5882,1-2878,2,300
1-5882,1-2441,2,300
1-5882,1-2051,2,300
1-5882,1-2094,2,300
1-5882,1-1139,2,300
1-5882,1-1190,2,300
1-2539,1-2633,2,0
1-2539,1-2559,2,0
1-2539,1-3366,2,0
1-2539,1-3064,2,0
1-2539,1-2560,2,0
1-2539,1-2611,2,0
1-2539,1-3023,2,0
1-2539,1-3350,2,0
1-2539,1-2539,2,0
1-2559,1-2633,2,0
1-2559,1-3366,2,0
1-2559,1-3064,2,0
1-2559,1-2560,2,0
1-2559,1-2611,2,0
1-2559,1-2539,2,0
1-2559,1-3023,2,0
1-2559,1-3350,2,0
1-2559,1-2559,2,0
1-2560,1-2633,2,0
1-2560,1-2559,2,0
1-2560,1-3366,2,0
1-2560,1-3064,2,0
1-2560,1-2611,2,0
1-2560,1-2539,2,0
1-2560,1-3023,2,0
1-2560,1-3350,2,0
1-2560,1-2560,2,0
1-2611,1-2633,2,0
1-2611,1-2559,2,0
1-2611,1-3366,2,0
1-2611,1-3064,2,0
1-2611,1-2560,2,0
1-2611,1-2539,2,0
1-2611,1-3023,2,0
1-2611,1-3350,2,0
1-2611,1-2611,2,0
1-2633,1-3366,2,0
1-2633,1-3064,2,0
1-2633,1-2560,2,0
1-2633,1-2611,2,0
1-2633,1-2539,2,0
1-2633,1-3023,2,0
1-2633,1-2559,2,0
1-2633,1-3350,2,0
1-2633,1-2633,2,0
1-3023,1-2633,2,0
1-3023,1-2559,2,0
1-3023,1-3366,2,0
1-3023,1-3064,2,0
1-3023,1-2560,2,0
1-3023,1-2611,2,0
1-3023,1-2539,2,0
1-3023,1-3350,2,0
1-3023,1-3023,2,0
1-3064,1-2633,2,0
1-3064,1-2559,2,0
1-3064,1-3366,2,0
1-3064,1-2560,2,0
1-3064,1-2611,2,0
1-3064,1-2539,2,0
1-3064,1-3023,2,0
1-3064,1-3350,2,0
1-3064,1-3064,2,0
1-3350,1-2633,2,0
1-3350,1-2559,2,0
1-3350,1-3366,2,0
1-3350,1-3064,2,0
1-3350,1-2560,2,0
1-3350,1-2611,2,0
1-3350,1-2539,2,0
1-3350,1-3023,2,0
1-3350,1-3350,2,0
1-3366,1-2633,2,0
1-3366,1-2559,2,0
1-3366,1-3064,2,0
1-3366,1-2560,2,0
1-3366,1-2611,2,0
1-3366,1-2539,2,0
1-3366,1-3023,2,0
1-3366,1-3350,2,0
1-3366,1-3366,2,0
1-3351,1-3451,2,180
1-3351,1-3351,2,180
1-3451,1-3351,2,180
1-3451,1-3451,2,180
1-5719,1-5730,2,0
1-5719,1-5720,2,0
1-5719,1-5723,2,0
1-5719,1-5733,2,0
1-5719,1-5726,2,0
1-5719,1-5734,2,0
1-5719,1-5729,2,0
1-5719,1-5736,2,0
1-5719,1-5725,2,0
1-5719,1-5804,2,0
1-5719,1-5735,2,0
1-5719,1-5727,2,0
1-5719,1-5728,2,0
1-5719,1-5719,2,0
1-5720,1-5719,2,0
1-5720,1-5730,2,0
1-5720,1-5723,2,0
1-5720,1-5733,2,0
1-5720,1-5726,2,0
1-5720,1-5734,2,0
1-5720,1-5729,2,0
1-5720,1-5736,2,0
1-5720,1-5725,2,0
1-5720,1-5804,2,0
1-5720,1-5735,2,0
1-5720,1-5727,2,0
1-5720,1-5728,2,0
1-5720,1-5720,2,0
1-5723,1-5719,2,0
1-5723,1-5730,2,0
1-5723,1-5720,2,0
1-5723,1-5733,2,0
1-5723,1-5726,2,0
1-5723,1-5734,2,0
1-5723,1-5729,2,0
1-5723,1-5736,2,0
1-5723,1-5725,2,0
1-5723,1-5804,2,0
1-5723,1-5735,2,0
1-5723,1-5727,2,0
1-5723,1-5728,2,0
1-5723,1-5723,2,0
1-5725,1-5719,2,0
1-5725,1-5730,2,0
1-5725,1-5720,2,0
1-5725,1-5723,2,0
1-5725,1-5733,2,0
1-5725,1-5726,2,0
1-5725,1-5734,2,0
1-5725,1-5729,2,0
1-5725,1-5736,2,0
1-5725,1-5804,2,0
1-5725,1-5735,2,0
1-5725,1-5727,2,0
1-5725,1-5728,2,0
1-5725,1-5725,2,0
1-5726,1-5719,2,0
1-5726,1-5730,2,0
1-5726,1-5720,2,0
1-5726,1-5723,2,0
1-5726,1-5733,2,0
1-5726,1-5734,2,0
1-5726,1-5729,2,0
1-5726,1-5736,2,0
1-5726,1-5725,2,0
1-5726,1-5804,2,0
1-5726,1-5735,2,0
1-5726,1-5727,2,0
1-5726,1-5728,2,0
1-5726,1-5726,2,0
1-5727,1-5719,2,0
1-5727,1-5730,2,0
1-5727,1-5720,2,0
1-5727,1-5723,2,0
1-5727,1-5733,2,0
1-5727,1-5726,2,0
1-5727,1-5734,2,0
1-5727,1-5729,2,0
1-5727,1-5736,2,0
1-5727,1-5725,2,0
1-5727,1-5804,2,0
1-5727,1-5735,2,0
1-5727,1-5728,2,0
1-5727,1-5727,2,0
1-5728,1-5719,2,0
1-5728,1-5730,2,0
1-5728,1-5720,2,0
1-5728,1-5723,2,0
1-5728,1-5733,2,0
1-5728,1-5726,2,0
1-5728,1-5734,2,0
1-5728,1-5729,2,0
1-5728,1-5736,2,0
1-5728,1-5725,2,0
1-5728,1-5804,2,0
1-5728,1-5735,2,0
1-5728,1-5727,2,0
