stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding
1-4148,4148,Racine/4148,W.-Caron / Racine,46.850315,-71.36055,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4148,0
1-4796,4796,Rae,du Lac-Saint-Charles / Rae,46.891506,-71.357338,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4796,0
1-4851,4851,Rae,du Lac-Saint-Charles / Rae,46.891441,-71.357323,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4851,0
1-5350,5350,des Rafales,Auclair / des Rafales,46.778088,-71.357368,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5350,0
1-5359,5359,des Rafales,Auclair / des Rafales,46.778225,-71.357216,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5359,1
1-3202,3202,de Rambouillet,10e Avenue Est / de Rambouillet,46.868454,-71.25695,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3202,0
1-3245,3245,de Rambouillet,79e Rue Est / de Rambouillet,46.865746,-71.257256,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3245,1
1-3308,3308,de Rambouillet,79e Rue Est / de Rambouillet,46.865765,-71.257057,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3308,0
1-4545,4545,de Rambouillet,10e Avenue Est / de Rambouillet,46.868454,-71.257072,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4545,0
1-2306,2306,Ranvoyzé,Liégeois / Ranvoyzé,46.761745,-71.273376,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2306,0
1-3957,3957,St-Raoul,Saint-Albert / Saint-Raoul,46.899719,-71.193947,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3957,0
1-4071,4071,St-Raoul,Saint-Albert / Saint-Raoul,46.899918,-71.194038,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4071,0
1-4803,4803,Raoul,de la Colline / Raoul,46.890724,-71.37394,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4803,0
1-4844,4844,Raoul,de la Colline / Raoul,46.890804,-71.374123,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4844,0
1-3370,3370,des Rapides,Royale / des Rapides,46.890411,-71.150627,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3370,1
1-5168,5168,Ratté,Père-Lelièvre / Ratté,46.810436,-71.265152,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5168,0
1-1077,1077,du Ravin,Grande Allée Ouest / du Ravin,46.792927,-71.239662,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1077,0
1-6542,6542,Raymond/6542,Sainte-Thérèse / Raymond,46.905975,-71.192001,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6542,1
1-6661,6661,Raymond/6661,Nordique / Raymond,46.889648,-71.188766,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6661,0
